10677_0001_idba_bin.165,PRJEB31266,ERS3612321,IDBA-UD,Illumina,114243,uncultured euryarchaeote,100,0.8,ERZ1050755,ftp.sra.ebi.ac.uk/vol1/ERZ105/ERZ1050755/10677_0001_idba_bin.165.fa.gz
10675_0036_idba_bin.46,PRJEB31266,ERS3626474,IDBA-UD,Illumina,114243,uncultured euryarchaeote,100,0.96,ERZ1046433,ftp.sra.ebi.ac.uk/vol1/ERZ104/ERZ1046433/10675_0036_idba_bin.46.fa.gz
10677_0021_idba_bin.98,PRJEB31266,ERS3613690,IDBA-UD,Illumina,114243,uncultured euryarchaeote,100,0,ERZ1052145,ftp.sra.ebi.ac.uk/vol1/ERZ105/ERZ1052145/10677_0021_idba_bin.98.fa.gz
10678_0031_idba_bin.104,PRJEB31266,ERS3629129,IDBA-UD,Illumina,114243,uncultured euryarchaeote,50.53,3.2,ERZ1049091,ftp.sra.ebi.ac.uk/vol1/ERZ104/ERZ1049091/10678_0031_idba_bin.104.fa.gz
10572_0037_idba_bin.73,PRJEB31266,ERS3618526,IDBA-UD,Illumina,114243,uncultured euryarchaeote,50.89,0,ERZ1064705,ftp.sra.ebi.ac.uk/vol1/ERZ106/ERZ1064705/10572_0037_idba_bin.73.fa.gz
10677_0042_idba_bin.131,PRJEB31266,ERS3614924,IDBA-UD,Illumina,114243,uncultured euryarchaeote,50.93,1.6,ERZ1061099,ftp.sra.ebi.ac.uk/vol1/ERZ106/ERZ1061099/10677_0042_idba_bin.131.fa.gz
10675_min2k_bin.1181,PRJEB31266,ERS3611580,MEGAHIT,Illumina,114243,uncultured euryarchaeote,51.12,1.6,ERZ1050013,ftp.sra.ebi.ac.uk/vol1/ERZ105/ERZ1050013/10675_min2k_bin.1181.fa.gz
10674_0011_idba_bin.42,PRJEB31266,ERS3609945,IDBA-UD,Illumina,114243,uncultured euryarchaeote,51.2,2.4,ERZ1038217,ftp.sra.ebi.ac.uk/vol1/ERZ103/ERZ1038217/10674_0011_idba_bin.42.fa.gz
10678_0015_idba_bin.40,PRJEB31266,ERS3628642,IDBA-UD,Illumina,114243,uncultured euryarchaeote,52.37,6.8,ERZ1048603,ftp.sra.ebi.ac.uk/vol1/ERZ104/ERZ1048603/10678_0015_idba_bin.40.fa.gz
10676_0017_idba_bin.21,PRJEB31266,ERS3620586,IDBA-UD,Illumina,114243,uncultured euryarchaeote,52.44,1.6,ERZ1040557,ftp.sra.ebi.ac.uk/vol1/ERZ104/ERZ1040557/10676_0017_idba_bin.21.fa.gz
10676_0029_idba_bin.128,PRJEB31266,ERS3621381,IDBA-UD,Illumina,114243,uncultured euryarchaeote,52.65,8,ERZ1041350,ftp.sra.ebi.ac.uk/vol1/ERZ104/ERZ1041350/10676_0029_idba_bin.128.fa.gz
10677_0053_idba_bin.82,PRJEB31266,ERS3615707,IDBA-UD,Illumina,114243,uncultured euryarchaeote,52.69,0.8,ERZ1061887,ftp.sra.ebi.ac.uk/vol1/ERZ106/ERZ1061887/10677_0053_idba_bin.82.fa.gz
10677_0021_idba_bin.22,PRJEB31266,ERS3613648,IDBA-UD,Illumina,114243,uncultured euryarchaeote,52.82,0.81,ERZ1052103,ftp.sra.ebi.ac.uk/vol1/ERZ105/ERZ1052103/10677_0021_idba_bin.22.fa.gz
10675_min2k_bin.1035,PRJEB31266,ERS3611542,MEGAHIT,Illumina,114243,uncultured euryarchaeote,52.89,1.6,ERZ1049975,ftp.sra.ebi.ac.uk/vol1/ERZ104/ERZ1049975/10675_min2k_bin.1035.fa.gz
10572_0005_idba_bin.8,PRJEB31266,ERS3617099,IDBA-UD,Illumina,114243,uncultured euryarchaeote,53.02,0.81,ERZ1063278,ftp.sra.ebi.ac.uk/vol1/ERZ106/ERZ1063278/10572_0005_idba_bin.8.fa.gz
10678_0023_idba_bin.128,PRJEB31266,ERS3628801,IDBA-UD,Illumina,114243,uncultured euryarchaeote,53.38,4.8,ERZ1048762,ftp.sra.ebi.ac.uk/vol1/ERZ104/ERZ1048762/10678_0023_idba_bin.128.fa.gz
10572_0006_idba_bin.20,PRJEB31266,ERS3617114,IDBA-UD,Illumina,114243,uncultured euryarchaeote,53.6,0,ERZ1063294,ftp.sra.ebi.ac.uk/vol1/ERZ106/ERZ1063294/10572_0006_idba_bin.20.fa.gz
10675_0019_idba_bin.107,PRJEB31266,ERS3625809,IDBA-UD,Illumina,114243,uncultured euryarchaeote,53.65,0.8,ERZ1045768,ftp.sra.ebi.ac.uk/vol1/ERZ104/ERZ1045768/10675_0019_idba_bin.107.fa.gz
10676_0036_idba_bin.47,PRJEB31266,ERS3621885,IDBA-UD,Illumina,114243,uncultured euryarchaeote,54,0,ERZ1041849,ftp.sra.ebi.ac.uk/vol1/ERZ104/ERZ1041849/10676_0036_idba_bin.47.fa.gz
10676_0001_idba_bin.11,PRJEB31266,ERS3619736,IDBA-UD,Illumina,114243,uncultured euryarchaeote,54.39,5,ERZ1060581,ftp.sra.ebi.ac.uk/vol1/ERZ106/ERZ1060581/10676_0001_idba_bin.11.fa.gz
10677_0051_idba_bin.30,PRJEB31266,ERS3615562,IDBA-UD,Illumina,114243,uncultured euryarchaeote,54.4,0.8,ERZ1061742,ftp.sra.ebi.ac.uk/vol1/ERZ106/ERZ1061742/10677_0051_idba_bin.30.fa.gz
10674_0014_idba_bin.77,PRJEB31266,ERS3610110,IDBA-UD,Illumina,114243,uncultured euryarchaeote,54.66,1.47,ERZ1038381,ftp.sra.ebi.ac.uk/vol1/ERZ103/ERZ1038381/10674_0014_idba_bin.77.fa.gz
